region,stat,series_id,value1976,value1977,value1978,value1979,value1980,value1981,value1982,value1983,value1984,value1985,value1986,value1987,value1988,value1989,value1990,value1991,value1992,value1993,value1994,value1995,value1996,value1997,value1998,value1999,value2000,value2001,value2002,value2003,value2004,value2005,value2006,value2007,value2008,value2009,value2010,value2011
Northeast,unemp_rate,LAURD91000003,9.4,8.4,7,6.6,7.2,7.4,9,8.8,6.8,6.2,5.6,4.5,4.1,4.5,5.4,7.3,8.2,7.4,6.5,6,5.7,5.4,4.7,4.4,3.8,4.4,5.6,5.9,5.3,4.8,4.6,4.5,5.4,8.3,8.7,8.2
Northeast,unemp_lvl,LAURD91000004,2063932,1864691,1570162,1513074,1655378,1738037,2104572,2065686,1633849,1500867,1375389,1123537,1021319,1144978,1402400,1878470,2125487,1897539,1667885,1537561,1476064,1432575,1241262,1170578,1031858,1193745,1542678,1607335,1462367,1336076,1275343,1244545,1527528,2350373,2462225,2305182
Northeast,emp_lvl,LAURD91000005,19781642,20278524,20973989,21509158,21494664,21632719,21345565,21540816,22332660,22806931,23292706,23804933,24150349,24376949,24433224,23880618,23676536,23821035,24025473,24203698,24594499,25136364,25385394,25652749,25857029,25893191,25840521,25708341,25929409,26276185,26604668,26719754,26772356,25972543,25824304,25880464
Northeast,labor_force,LAURD91000006,21845574,22143215,22544151,23022232,23150042,23370756,23450137,23606502,23966509,24307798,24668095,24928470,25171668,25521927,25835624,25759088,25802023,25718574,25693358,25741259,26070563,26568939,26626656,26823327,26888887,27086936,27383199,27315676,27391776,27612261,27880011,27964299,28299884,28322916,28286529,28185646
Midwest,unemp_rate,LAURD92000003,6.6,6,5.3,5.5,8.2,8.6,11.1,10.9,8.4,8,7.4,6.6,5.8,5.4,5.6,6.5,6.7,6,5.1,4.6,4.5,4.1,3.7,3.6,3.6,4.5,5.5,5.9,5.7,5.5,5,5.1,6,9.6,9.5,8.4
Midwest,unemp_lvl,LAURD92000004,1730898,1610509,1473430,1548742,2321024,2456932,3167577,3099245,2416217,2335166,2165054,1980424,1745802,1655471,1723205,1984671,2080013,1911505,1638165,1489932,1487597,1349224,1254064,1213777,1238658,1553011,1876529,2008535,1959619,1871341,1723708,1792854,2091557,3341880,3257438,2866257
Midwest,emp_lvl,LAURD92000005,24429278,25247856,26123361,26562232,26039037,26035181,25377192,25453999,26337753,26741351,27263380,27855077,28486694,29075255,28859907,28723733,29112461,29726072,30592584,31147087,31504382,31950529,32246705,32575798,32812569,32677908,32216438,32094466,32198192,32457397,32940505,33053704,32760520,31350988,31209640,31441850
Midwest,labor_force,LAURD92000006,26160176,26858365,27596791,28110974,28360061,28492113,28544769,28553244,28753970,29076517,29428434,29835501,30232496,30730726,30583112,30708404,31192474,31637577,32230749,32637019,32991979,33299753,33500769,33789575,34051227,34230919,34092967,34103001,34157811,34328738,34664213,34846558,34852077,34692868,34467078,34308107
South,unemp_rate,LAURD93000003,6.8,6.4,5.6,5.4,6.4,7,8.9,9.2,7.3,7.2,7.5,6.8,6.1,5.7,5.7,6.7,7.2,6.6,5.9,5.4,5.2,4.9,4.4,4.1,3.9,4.7,5.6,5.7,5.2,5,4.5,4.3,5.5,8.9,9.3,8.8
South,unemp_lvl,LAURD93000004,2058692,2003282,1830363,1802848,2205458,2494536,3252104,3423026,2765309,2793695,2995351,2764156,2518086,2369371,2439175,2910803,3179703,2921373,2673439,2511268,2456904,2332815,2132163,2017462,1946744,2353443,2856913,2937553,2717694,2629013,2387968,2353077,3023767,4889145,5176289,4942092
South,emp_lvl,LAURD93000005,28411287,29526472,30848542,31825740,32345153,33014344,33142254,33762705,35290048,36155932,36804191,37788758,38637339,39425238,40144922,40245348,40803076,41637401,42817326,43699119,44489734,45469701,46299430,47071348,47782668,47777582,47902872,48337020,49067924,50127051,51227359,51961941,51872131,50113165,50421322,51191957
South,labor_force,LAURD93000006,30469979,31529754,32678905,33628588,34550611,35508880,36394358,37185731,38055357,38949627,39799542,40552914,41155425,41794609,42584097,43156151,43982779,44558774,45490765,46210387,46946638,47802516,48431593,49088810,49729412,50131025,50759785,51274573,51785618,52756064,53615327,54315018,54895898,55002310,55597611,56134049
West,unemp_rate,LAURD94000003,8.6,7.9,6.6,6,6.9,7.4,9.9,9.6,7.6,7.3,7.1,6.3,5.6,5.3,5.5,6.9,8.2,8,7.2,6.6,6.4,5.6,5.4,4.9,4.6,5.3,6.5,6.6,5.9,5.2,4.6,4.7,6.3,10.2,11,10.4
West,unemp_lvl,LAURD94000004,1523338,1454968,1287062,1217152,1446508,1591220,2163865,2141727,1727209,1697930,1705606,1553701,1417760,1362089,1485783,1875282,2264321,2251062,2061154,1922180,1889481,1690921,1655721,1542813,1477834,1714715,2128113,2182011,1979645,1764263,1581869,1642252,2246671,3649356,3964509,3717711
West,emp_lvl,LAURD94000005,16111025,17061390,18147583,19019579,19431156,19776398,19787797,20194240,21120212,21657428,22292441,23030107,23763344,24485809,25430981,25175724,25392299,25744829,26466272,27013450,27559245,28431670,29219479,29846020,30488109,30766518,30821439,31059183,31567066,32217055,32956816,33420737,33455339,32158002,31937755,32160393
West,labor_force,LAURD94000006,17634363,18516358,19434645,20236731,20877664,21367618,21951662,22335967,22847421,23355358,23998047,24583808,25181104,25847898,26916764,27051006,27656620,27995891,28527426,28935630,29448726,30122591,30875200,31388833,31965943,32481233,32949552,33241194,33546711,33981318,34538685,35062989,35702010,35807358,35902264,35878104
